input,text,candidate
"
Could you provide the current weather conditions in London and the forecast for the next few hours?","London is currently facing heavy rain, so it’s best to carry an umbrella.","London is currently facing [WeatherAPI(""London"")]→overcast clouds. The forecast for the next hour or so will be overcast with a chance of showers and thunderstorms.
"
"What is the current weather in London, including a detailed description of the sky conditions and the temperature in Celsius?","London is currently facing heavy rain, so it’s best to carry an umbrella.","London is [WeatherAPI(""London"")]→overcast clouds, with a chance of showers and thunderstorms. The temperature will be around 0°C.
"
What's the current weather in London and the expected high and low temperatures today?,"London is currently facing heavy rain, so it’s best to carry an umbrella.","London is currently [WeatherAPI(""London"")]→overcast clouds, with a high of about 10 degrees Celsius and low around 4.5 degrees Celsius.
"
"What is the current weather in Berlin, including details about cloud cover, chances of precipitation, temperature, and wind direction?","The skies over Berlin are clear today, making it perfect for a picnic.","The skies over Berlin are [WeatherAPI(""Berlin"")]→overcast clouds with a chance of rain. The temperature is around 0°C and the wind blows from the SW.
"
What is the current weather in Tokyo?,"In Tokyo, it is currently snowing, which is great for winter sports enthusiasts.","In Tokyo, it is currently [WeatherAPI(""Tokyo"")]→scattered clouds."
"What is the current weather forecast for Sydney, including details on sky conditions and temperature range?",The weather forecast in Sydney promises sunny skies all week.,"The weather forecast in Sydney promises [WeatherAPI(""Sydney"")]→clear sky, with a maximum temperature of 25°C and minimum around 17°C."
"What is the current weather in Moscow, including the cloud cover and temperature?
","There's a frost warning overnight in Moscow, with temperatures dropping sharply.","There is [WeatherAPI(""Moscow"")]→overcast clouds, and the sky will be cloudy. The temperature in Moscow is about 0°C.
"
"What is the current weather like in London, including the temperature and general conditions?",The current temperature in London is 5 degrees Celsius and it feels chilly.,"The current temperature in London is [WeatherAPI(""London"")]→overcast clouds, with a high of about 10 degrees Celsius."
What is the current weather like in Moscow?,"It's a snowing day in Moscow, perfect time for hot cocoa.","It's a [WeatherAPI(""Moscow"")]→overcast clouds, with some rain showers. The wind is light and variable.
"
"What is the current weather forecast for Moscow, including cloud cover, precipitation, temperature, and humidity?","It's a snowing day in Moscow, perfect time for hot cocoa.","It's [WeatherAPI(""Moscow"")]→overcast clouds, with a chance of rain or snow showers. The temperature will be around 0°C and the humidity about 50%.
"
